EmployeeKey,ParentEmployeeKey,SalesTerritoryKey,FirstName,LastName,MiddleName,NameStyle,Title,HireDate,BirthDate,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,SalesPersonFlag,DepartmentName,StartDate,EndDate,Status
12,189,11,Barry,Johnson,K,False,Production Technician - WC10,2007-08-07,1955-10-25,barry0@adventure-works.com,206-555-0180,S,Barry Johnson,206-555-0180,False,M,1,13.45,88,64,True,False,Production,2007-08-07,,Current
13,3,11,Jossef,Goldberg,H,False,Design Engineer,2007-08-24,1958-10-09,jossef0@adventure-works.com,122-555-0189,M,Jossef Goldberg,122-555-0189,True,M,2,32.6923,6,23,True,False,Engineering,2007-08-24,,Current
14,112,11,Terri,Duffy,Lee,False,Vice President of Engineering,2007-08-31,1971-03-01,terri0@adventure-works.com,819-555-0175,S,Terri Duffy,819-555-0175,True,F,2,63.4615,1,20,True,False,Engineering,2007-08-31,,Current
15,189,11,Sidney,Higa,M,False,Production Technician - WC10,2007-09-02,1956-03-30,sidney0@adventure-works.com,424-555-0189,M,Sidney Higa,424-555-0189,False,M,1,13.45,84,62,True,False,Production,2007-09-02,,Current
16,23,11,Taylor,Maxwell,R,False,Production Supervisor - WC50,2007-09-08,1955-10-31,taylor0@adventure-works.com,508-555-0165,M,Taylor Maxwell,508-555-0165,False,M,2,25,79,59,True,False,Production,2007-09-08,,Current
17,189,11,Jeffrey,Ford,L,False,Production Technician - WC10,2007-09-20,1956-02-09,jeffrey0@adventure-works.com,984-555-0185,S,Jeffrey Ford,984-555-0185,False,M,1,13.45,85,62,True,False,Production,2007-09-20,,Current
18,23,11,Jo,Brown,A,False,Production Supervisor - WC60,2007-09-27,1956-05-08,jo0@adventure-works.com,632-555-0129,S,Jo Brown,632-555-0129,False,F,2,25,80,60,True,False,Production,2007-09-27,,Current
19,189,11,Doris,Hartwig,M,False,Production Technician - WC10,2007-10-09,1955-11-03,doris0@adventure-works.com,328-555-0150,M,Doris Hartwig,328-555-0150,False,F,1,13.45,86,63,True,False,Production,2007-10-09,,Current
20,23,11,John,Campbell,T,False,Production Supervisor - WC60,2007-10-16,1956-03-07,john0@adventure-works.com,435-555-0113,M,John Campbell,435-555-0113,False,M,2,25,81,60,True,False,Production,2007-10-16,,Current
21,189,11,Diane,Glimp,R,False,Production Technician - WC10,2007-10-27,1955-10-28,diane0@adventure-works.com,202-555-0151,M,Diane Glimp,202-555-0151,False,F,1,13.45,87,63,True,False,Production,2007-10-27,,Current
22,177,11,Steven,Selikoff,T,False,Production Technician - WC30,2008-07-01,1976-12-12,steven0@adventure-works.com,925-555-0114,M,Steven Selikoff,925-555-0114,False,M,1,9.5,41,40,True,False,Production,2008-07-01,,Current
23,112,11,Peter,Krebs,J,False,Production Control Manager,2008-07-01,1982-06-03,peter0@adventure-works.com,913-555-0196,M,Peter Krebs,913-555-0196,True,M,2,24.5192,43,41,True,False,Production Control,2008-07-01,,Current
24,201,11,Stuart,Munson,V,False,Production Technician - WC45,2008-07-02,1962-04-13,stuart0@adventure-works.com,413-555-0136,S,Stuart Munson,413-555-0136,False,M,1,10,84,62,True,False,Production,2008-07-02,,Current
25,201,11,Greg,Alderson,F,False,Production Technician - WC45,2008-07-02,1975-11-15,greg0@adventure-works.com,332-555-0150,S,Greg Alderson,332-555-0150,False,M,1,10,85,62,True,False,Production,2008-07-02,,Current
26,188,11,David,Johnson,N,False,Production Technician - WC30,2008-07-02,1979-06-02,david1@adventure-works.com,166-555-0162,S,David Johnson,166-555-0162,False,M,1,9.5,25,32,True,False,Production,2008-07-02,,Current
27,23,11,Zheng,Mu,W,False,Production Supervisor - WC10,2008-07-03,1983-05-26,zheng0@adventure-works.com,113-555-0173,S,Zheng Mu,113-555-0173,False,M,2,25,66,53,True,False,Production,2008-07-03,,Current
28,111,11,Ivo,Salmre,William,False,Production Technician - WC20,2008-07-04,1981-08-03,ivo0@adventure-works.com,115-555-0179,M,Ivo Salmre,115-555-0179,False,M,1,14,9,24,True,False,Production,2008-07-04,,Current
29,89,11,Paul,Komosinski,B,False,Production Technician - WC40,2008-07-04,1980-06-13,paul0@adventure-works.com,147-555-0160,S,Paul Komosinski,147-555-0160,False,M,1,15,68,54,True,False,Production,2008-07-04,,Current
30,154,11,Ashvini,Sharma,R,False,Network Administrator,2008-07-04,1976-10-25,ashvini0@adventure-works.com,656-555-0119,S,Ashvini Sharma,656-555-0119,False,M,2,32.4519,70,55,True,False,Information Services,2008-07-04,,Current
31,16,11,Kendall,Keil,C,False,Production Technician - WC50,2008-07-05,1985-12-28,kendall0@adventure-works.com,138-555-0128,M,Kendall Keil,138-555-0128,False,M,1,11,11,25,True,False,Production,2008-07-05,,Current
32,143,11,Paula,Barreto de Mattos,M,False,Human Resources Manager,2008-07-06,1975-09-11,paula0@adventure-works.com,523-555-0175,M,Paula Barreto de Mattos,523-555-0175,True,F,2,27.1394,54,47,True,False,Human Resources,2008-07-06,,Current
33,214,11,Alejandro,McGuel,E,False,Production Technician - WC40,2008-07-06,1988-07-05,alejandro0@adventure-works.com,668-555-0130,S,Alejandro McGuel,668-555-0130,False,M,1,15,52,46,True,False,Production,2008-07-06,,Current
34,188,11,Garrett,Young,R,False,Production Technician - WC30,2008-07-07,1984-03-25,garrett0@adventure-works.com,609-555-0179,S,Garrett Young,609-555-0179,False,M,1,9.5,34,37,True,False,Production,2008-07-07,,Current
35,138,11,Jian Shuo,Wang,,False,Production Technician - WC30,2008-07-07,1983-02-24,jianshuo0@adventure-works.com,952-555-0178,S,Jian Shuo Wang,952-555-0178,False,M,1,9.5,36,38,True,False,Production,2008-07-07,,Current
36,87,11,Susan,Eaton,W,False,Stocker,2008-07-07,1977-09-17,susan0@adventure-works.com,943-555-0196,S,Susan Eaton,943-555-0196,False,F,1,9,97,68,True,False,Shipping and Receiving,2008-07-07,,Current
37,87,11,Vamsi,Kuppa,N,False,Shipping and Receiving Clerk,2008-07-07,1976-10-16,vamsi0@adventure-works.com,937-555-0137,M,Vamsi Kuppa,937-555-0137,False,M,2,9.5,95,67,True,False,Shipping and Receiving,2008-07-07,,Current
38,40,11,Alice,Ciccu,O,False,Production Technician - WC50,2008-07-07,1977-08-26,alice0@adventure-works.com,333-555-0173,M,Alice Ciccu,333-555-0173,False,F,1,11,95,67,True,False,Production,2008-07-07,,Current
39,9,11,Simon,Rapier,D,False,Production Technician - WC60,2008-07-08,1989-12-15,simon0@adventure-works.com,963-555-0134,S,Simon Rapier,963-555-0134,False,M,1,12.45,38,39,True,False,Production,2008-07-08,,Current
40,23,11,Jinghao,Liu,K,False,Production Supervisor - WC50,2008-07-08,1988-09-05,jinghao0@adventure-works.com,794-555-0159,S,Jinghao Liu,794-555-0159,False,M,2,25,77,58,True,False,Production,2008-07-08,,Current
41,186,11,Michael,Hines,T,False,Production Technician - WC20,2008-07-09,1989-12-15,michael0@adventure-works.com,218-555-0126,S,Michael Hines,218-555-0126,False,M,1,14,20,30,True,False,Production,2008-07-09,,Current
42,163,11,Yvonne,McKay,S,False,Production Technician - WC45,2008-07-09,1988-11-13,yvonne0@adventure-works.com,286-555-0189,M,Yvonne McKay,286-555-0189,False,F,1,10,79,59,True,False,Production,2008-07-09,,Current
43,204,11,Peng,Wu,J,False,Quality Assurance Supervisor,2008-07-09,1975-10-17,peng0@adventure-works.com,164-555-0164,M,Peng Wu,164-555-0164,True,M,2,21.6346,81,60,True,False,Quality Assurance,2008-07-09,,Current
44,112,11,Jean,Trenary,E,False,Information Services Manager,2008-07-11,1975-07-13,jean0@adventure-works.com,685-555-0120,S,Jean Trenary,685-555-0120,True,F,2,50.4808,65,52,True,False,Information Services,2008-07-11,,Current
45,76,11,Russell,Hunter,,False,Production Technician - WC50,2008-07-12,1972-06-25,russell0@adventure-works.com,786-555-0144,M,Russell Hunter,786-555-0144,False,M,1,11,6,23,True,False,Production,2008-07-12,,Current
46,23,11,A. Scott,Wright,,False,Master Scheduler,2008-07-12,1968-04-17,ascott0@adventure-works.com,992-555-0194,S,A. Scott Wright,992-555-0194,False,M,2,23.5577,44,42,True,False,Production Control,2008-07-12,,Current
47,214,11,Fred,Northup,T,False,Production Technician - WC40,2008-07-12,1989-01-23,fred0@adventure-works.com,818-555-0192,S,Fred Northup,818-555-0192,False,M,1,15,47,43,True,False,Production,2008-07-12,,Current
48,7,11,Sariya,Harnpadoungsataya,E,False,Marketing Specialist,2008-07-12,1986-12-19,sariya0@adventure-works.com,399-555-0176,S,Sariya Harnpadoungsataya,399-555-0176,False,M,2,14.4231,45,42,True,False,Marketing,2008-07-12,,Current
49,32,11,Willis,Johnson,T,False,Recruiter,2008-07-13,1978-02-15,willis0@adventure-works.com,778-555-0141,S,Willis Johnson,778-555-0141,False,M,2,18.2692,49,44,True,False,Human Resources,2008-07-13,,Current
50,40,11,Jun,Cao,T,False,Production Technician - WC50,2008-07-14,1979-02-03,jun0@adventure-works.com,299-555-0113,S,Jun Cao,299-555-0113,False,M,1,11,90,65,True,False,Production,2008-07-14,,Current
51,222,11,Christian,Kleinerman,E,False,Maintenance Supervisor,2008-07-14,1975-08-18,christian0@adventure-works.com,846-555-0157,M,Christian Kleinerman,846-555-0157,True,M,2,20.4327,92,66,True,False,Facilities and Maintenance,2008-07-14,,Current
52,188,11,Susan,Metters,A,False,Production Technician - WC30,2008-07-14,1982-10-31,susan1@adventure-works.com,639-555-0164,S,Susan Metters,639-555-0164,False,F,1,9.5,31,35,True,False,Production,2008-07-14,,Current
53,23,11,Reuben,D'sa,H,False,Production Supervisor - WC40,2008-07-15,1987-03-27,reuben0@adventure-works.com,191-555-0112,M,Reuben D'sa,191-555-0112,False,M,2,25,72,56,True,False,Production,2008-07-15,,Current
54,126,11,Kirk,Koenigsbauer,J,False,Production Technician - WC45,2008-07-15,1984-09-06,kirk0@adventure-works.com,669-555-0150,S,Kirk Koenigsbauer,669-555-0150,False,M,1,10,74,57,True,False,Production,2008-07-15,,Current
55,20,11,David,Ortiz,J,False,Production Technician - WC60,2008-07-15,1984-07-29,david2@adventure-works.com,712-555-0119,M,David Ortiz,712-555-0119,False,M,1,12.45,33,36,True,False,Production,2008-07-15,,Current
56,92,11,Tengiz,Kharatishvili,N,False,Control Specialist,2008-07-16,1989-11-26,tengiz0@adventure-works.com,910-555-0116,S,Tengiz Kharatishvili,910-555-0116,False,M,2,16.8269,76,58,True,False,Document Control,2008-07-16,,Current
57,147,11,Hanying,Feng,P,False,Production Technician - WC20,2008-07-16,1974-05-16,hanying0@adventure-works.com,319-555-0139,S,Hanying Feng,319-555-0139,False,M,1,14,15,27,True,False,Production,2008-07-16,,Current
58,214,11,Kevin,Liu,H,False,Production Technician - WC40,2008-07-17,1985-07-25,kevin1@adventure-works.com,714-555-0138,S,Kevin Liu,714-555-0138,False,M,1,15,58,49,True,False,Production,2008-07-17,,Current
59,18,11,Annik,Stahl,O,False,Production Technician - WC60,2008-07-17,1976-07-26,annik0@adventure-works.com,499-555-0125,M,Annik Stahl,499-555-0125,False,M,1,12.45,17,28,True,False,Production,2008-07-17,,Current
60,40,11,Suroor,Fatima,R,False,Production Technician - WC50,2008-07-17,1977-09-25,suroor0@adventure-works.com,932-555-0161,S,Suroor Fatima,932-555-0161,False,M,1,11,93,66,True,False,Production,2008-07-17,,Current
61,142,11,Deborah,Poe,E,False,Accounts Receivable Specialist,2008-07-18,1975-10-05,deborah0@adventure-works.com,602-555-0194,M,Deborah Poe,602-555-0194,False,F,2,19,60,50,True,False,Finance,2008-07-18,,Current
62,76,11,Jim,Scardelis,H,False,Production Technician - WC50,2008-07-19,1986-04-08,jim0@adventure-works.com,679-555-0113,M,Jim Scardelis,679-555-0113,False,M,1,11,1,20,True,False,Production,2008-07-19,,Current
63,177,11,Carole,Poland,M,False,Production Technician - WC30,2008-07-19,1983-05-19,carole0@adventure-works.com,688-555-0192,M,Carole Poland,688-555-0192,False,F,1,9.5,42,41,True,False,Production,2008-07-19,,Current
64,188,11,George,Li,Z,False,Production Technician - WC30,2008-07-21,1976-11-14,george0@adventure-works.com,518-555-0199,M,George Li,518-555-0199,False,M,1,9.5,26,33,True,False,Production,2008-07-21,,Current
65,89,11,Gary,Yukish,W,False,Production Technician - WC40,2008-07-22,1987-12-15,gary0@adventure-works.com,901-555-0125,S,Gary Yukish,901-555-0125,False,M,1,15,69,54,True,False,Production,2008-07-22,,Current
66,23,11,Cristian,Petculescu,K,False,Production Supervisor - WC10,2008-07-22,1983-11-10,cristian0@adventure-works.com,434-555-0133,M,Cristian Petculescu,434-555-0133,False,M,2,25,67,53,True,False,Production,2008-07-22,,Current
67,147,11,Raymond,Sam,K,False,Production Technician - WC20,2008-07-23,1966-09-30,raymond0@adventure-works.com,226-555-0197,M,Raymond Sam,226-555-0197,False,M,1,14,10,25,True,False,Production,2008-07-23,,Current
68,44,11,Janaina,Bueno,Barreiro Gambaro,False,Application Specialist,2008-07-23,1984-08-30,janaina0@adventure-works.com,623-555-0155,M,Janaina Bueno,623-555-0155,True,F,2,27.4038,71,55,True,False,Information Services,2008-07-23,,Current
69,16,11,Bob,Hohman,N,False,Production Technician - WC50,2008-07-24,1979-03-16,bob0@adventure-works.com,611-555-0116,S,Bob Hohman,611-555-0116,False,M,1,11,12,26,True,False,Production,2008-07-24,,Current
70,214,11,Shammi,Mohamed,G,False,Production Technician - WC40,2008-07-24,1980-05-04,shammi0@adventure-works.com,793-555-0179,M,Shammi Mohamed,793-555-0179,False,M,1,15,53,46,True,False,Production,2008-07-24,,Current
71,40,11,Linda,Moschell,K,False,Production Technician - WC50,2008-07-25,1987-02-14,linda0@adventure-works.com,612-555-0171,M,Linda Moschell,612-555-0171,False,F,1,11,96,68,True,False,Production,2008-07-25,,Current
72,32,11,Mindy,Martin,C,False,Benefits Specialist,2008-07-25,1984-06-20,mindy0@adventure-works.com,522-555-0147,M,Mindy Martin,522-555-0147,False,F,2,16.5865,51,45,True,False,Human Resources,2008-07-25,,Current
73,143,11,Wendy,Kahn,Beth,False,Finance Manager,2008-07-25,1984-05-11,wendy0@adventure-works.com,248-555-0134,S,Wendy Kahn,248-555-0134,True,F,2,43.2692,55,47,True,False,Finance,2008-07-25,,Current
74,87,11,Kim,Ralls,T,False,Stocker,2008-07-26,1983-11-29,kim0@adventure-works.com,309-555-0129,S,Kim Ralls,309-555-0129,False,F,1,9,98,69,True,False,Shipping and Receiving,2008-07-26,,Current
75,138,11,Sandra,Reátegui Alayo,,False,Production Technician - WC30,2008-07-26,1975-06-05,sandra0@adventure-works.com,896-555-0168,M,Sandra Reátegui Alayo,896-555-0168,False,F,1,9.5,37,38,True,False,Production,2008-07-26,,Current
76,23,11,Kok-Ho,Loh,T,False,Production Supervisor - WC50,2008-07-27,1979-11-27,kok-ho0@adventure-works.com,999-555-0155,S,Kok-Ho Loh,999-555-0155,False,M,2,25,78,59,True,False,Production,2008-07-27,,Current
77,163,11,Douglas,Hite,B,False,Production Technician - WC45,2008-07-27,1985-06-24,douglas0@adventure-works.com,808-555-0172,M,Douglas Hite,808-555-0172,False,M,1,10,80,60,True,False,Production,2008-07-27,,Current
78,9,11,James,Kramer,D,False,Production Technician - WC60,2008-07-27,1984-02-23,james0@adventure-works.com,119-555-0117,M,James Kramer,119-555-0117,False,M,1,12.45,39,39,True,False,Production,2008-07-27,,Current
79,43,11,Sean,Alexander,P,False,Quality Assurance Technician,2008-07-28,1975-10-05,sean0@adventure-works.com,420-555-0173,S,Sean Alexander,420-555-0173,False,M,2,10.5769,82,61,True,False,Quality Assurance,2008-07-28,,Current
80,186,11,Nitin,Mirchandani,S,False,Production Technician - WC20,2008-07-28,1986-07-01,nitin0@adventure-works.com,143-555-0173,S,Nitin Mirchandani,143-555-0173,False,M,1,14,21,30,True,False,Production,2008-07-28,,Current
81,162,11,Diane,Margheim,L,False,Research and Development Engineer,2008-07-29,1986-01-03,diane1@adventure-works.com,815-555-0138,S,Diane Margheim,815-555-0138,True,F,2,40.8654,62,51,True,False,Research and Development,2008-07-29,,Current
82,18,11,Rebecca,Laszlo,A,False,Production Technician - WC60,2008-07-29,1988-02-04,rebecca0@adventure-works.com,314-555-0113,M,Rebecca Laszlo,314-555-0113,False,F,1,12.45,23,31,True,False,Production,2008-07-29,,Current
83,214,11,Rajesh,Patel,M,False,Production Technician - WC40,2008-07-31,1977-05-04,rajesh0@adventure-works.com,373-555-0137,M,Rajesh Patel,373-555-0137,False,M,1,15,48,44,True,False,Production,2008-07-31,,Current
84,32,11,Vidur,Luthra,X,False,Recruiter,2008-08-01,1984-03-01,vidur0@adventure-works.com,153-555-0186,S,Vidur Luthra,153-555-0186,False,M,2,18.2692,50,45,True,False,Human Resources,2008-08-01,,Current
85,40,11,John,Evans,P,False,Production Technician - WC50,2008-08-01,1977-12-29,john1@adventure-works.com,172-555-0130,S,John Evans,172-555-0130,False,M,1,11,91,65,True,False,Production,2008-08-01,,Current
86,9,11,Nancy,Anderson,A,False,Production Technician - WC60,2008-08-02,1988-06-19,nancy0@adventure-works.com,970-555-0118,M,Nancy Anderson,970-555-0118,False,F,1,12.45,34,37,True,False,Production,2008-08-02,,Current
87,23,11,Pilar,Ackerman,G,False,Shipping and Receiving Supervisor,2008-08-02,1972-04-09,pilar0@adventure-works.com,577-555-0185,S,Pilar Ackerman,577-555-0185,True,M,2,19.2308,93,66,True,False,Shipping and Receiving,2008-08-02,,Current
88,188,11,David,Yalovsky,A,False,Production Technician - WC30,2008-08-02,1981-03-03,david3@adventure-works.com,373-555-0142,S,David Yalovsky,373-555-0142,False,M,1,9.5,32,36,True,False,Production,2008-08-02,,Current
89,23,11,David,Hamilton,P,False,Production Supervisor - WC40,2008-08-03,1983-01-30,david4@adventure-works.com,986-555-0177,S,David Hamilton,986-555-0177,False,M,2,25,73,56,True,False,Production,2008-08-03,,Current
90,126,11,Laura,Steele,C,False,Production Technician - WC45,2008-08-03,1980-07-25,laura0@adventure-works.com,777-555-0141,S,Laura Steele,777-555-0141,False,F,1,10,75,57,True,False,Production,2008-08-03,,Current
91,18,11,Margie,Shoop,W,False,Production Technician - WC60,2008-08-04,1985-12-18,margie0@adventure-works.com,818-555-0128,M,Margie Shoop,818-555-0128,False,F,1,12.45,18,29,True,False,Production,2008-08-04,,Current
92,204,11,Zainal,Arifin,T,False,Document Control Manager,2008-08-04,1975-08-30,zainal0@adventure-works.com,204-555-0115,M,Zainal Arifin,204-555-0115,False,M,2,17.7885,77,58,True,False,Document Control,2008-08-04,,Current
93,214,11,Lorraine,Nay,O,False,Production Technician - WC40,2008-08-04,1988-06-26,lorraine0@adventure-works.com,845-555-0184,M,Lorraine Nay,845-555-0184,False,F,1,15,49,44,True,False,Production,2008-08-04,,Current
94,147,11,Fadi,Fakhouri,K,False,Production Technician - WC20,2008-08-04,1988-09-15,fadi0@adventure-works.com,935-555-0116,S,Fadi Fakhouri,935-555-0116,False,M,1,14,16,28,True,False,Production,2008-08-04,,Current
95,53,11,Ryan,Cornelsen,L,False,Production Technician - WC40,2008-08-05,1972-01-12,ryan0@adventure-works.com,208-555-0114,M,Ryan Cornelsen,208-555-0114,False,M,1,15,59,49,True,False,Production,2008-08-05,,Current
96,142,11,Candy,Spoon,L,False,Accounts Receivable Specialist,2008-08-06,1975-09-23,candy0@adventure-works.com,920-555-0177,S,Candy Spoon,920-555-0177,False,F,2,19,61,50,True,False,Finance,2008-08-06,,Current
97,76,11,Nuan,Yu,,False,Production Technician - WC50,2008-08-06,1978-10-27,nuan0@adventure-works.com,913-555-0184,S,Nuan Yu,913-555-0184,False,M,1,11,2,21,True,False,Production,2008-08-06,,Current
98,46,11,William,Vong,S,False,Scheduling Assistant,2008-08-07,1981-06-06,william0@adventure-works.com,148-555-0145,M,William Vong,148-555-0145,False,M,2,16,45,42,True,False,Production Control,2008-08-07,2011-03-31,
99,46,11,William,Vong,S,False,Scheduling Assistant,2008-08-07,1981-06-06,william0@adventure-works.com,148-555-0145,M,William Vong,148-555-0145,False,M,2,16,45,42,True,False,Production Control,2011-04-01,,Current
100,177,11,Bjorn,Rettig,M,False,Production Technician - WC30,2008-08-07,1989-06-06,bjorn0@adventure-works.com,199-555-0117,S,Bjorn Rettig,199-555-0117,False,M,1,9.5,43,41,True,False,Production,2008-08-07,,Current
101,201,11,Scott,Gode,R,False,Production Technician - WC45,2008-08-08,1986-09-10,scott0@adventure-works.com,391-555-0138,M,Scott Gode,391-555-0138,False,M,1,10,86,63,True,False,Production,2008-08-08,,Current
102,89,11,Michael,Rothkugel,L,False,Production Technician - WC40,2008-08-10,1990-08-04,michael1@adventure-works.com,454-555-0119,S,Michael Rothkugel,454-555-0119,False,M,1,15,70,55,True,False,Production,2008-08-10,,Current
103,147,11,Lane,Sacksteder,M,False,Production Technician - WC20,2008-08-11,1974-04-23,lane0@adventure-works.com,200-555-0117,M,Lane Sacksteder,200-555-0117,False,M,1,14,11,25,True,False,Production,2008-08-11,,Current
104,16,11,Pete,Male,C,False,Production Technician - WC50,2008-08-11,1976-09-03,pete0@adventure-works.com,768-555-0123,S,Pete Male,768-555-0123,False,M,1,11,13,26,True,False,Production,2008-08-11,,Current
105,44,11,Dan,Bacon,K,False,Application Specialist,2008-08-11,1981-01-24,dan0@adventure-works.com,166-555-0159,M,Dan Bacon,166-555-0159,True,M,2,27.4038,72,56,True,False,Information Services,2008-08-11,,Current
106,143,11,David,Barber,M,False,Assistant to the Chief Financial Officer,2008-08-12,1964-01-20,david5@adventure-works.com,477-555-0132,S,David Barber,477-555-0132,False,M,2,13.4615,56,48,True,False,Finance,2008-08-12,,Current
107,76,11,Lolan,Song,B,False,Production Technician - WC50,2008-08-12,1972-08-24,lolan0@adventure-works.com,582-555-0178,M,Lolan Song,582-555-0178,False,M,1,11,7,23,True,False,Production,2008-08-12,,Current
108,214,11,Paula,Nartker,R,False,Production Technician - WC40,2008-08-12,1986-09-10,paula1@adventure-works.com,476-555-0119,M,Paula Nartker,476-555-0119,False,F,1,15,54,47,True,False,Production,2008-08-12,,Current
109,7,11,Mary,Gibson,E,False,Marketing Specialist,2008-08-12,1962-04-13,mary0@adventure-works.com,531-555-0183,M,Mary Gibson,531-555-0183,False,F,2,14.4231,46,43,True,False,Marketing,2008-08-12,,Current
110,40,11,Mindaugas,Krapauskas,J,False,Production Technician - WC50,2008-08-13,1977-12-05,mindaugas0@adventure-works.com,637-555-0120,M,Mindaugas Krapauskas,637-555-0120,False,M,1,11,97,68,True,False,Production,2008-08-13,,Current
111,23,11,Eric,Gubbels,,False,Production Supervisor - WC20,2008-08-14,1984-08-19,eric0@adventure-works.com,260-555-0119,M,Eric Gubbels,260-555-0119,False,M,2,25,40,40,True,False,Production,2008-08-14,,Current
112,,11,Ken,Sánchez,J,False,Chief Executive Officer,2008-08-14,1968-08-29,ken0@adventure-works.com,697-555-0142,S,Ken Sánchez,697-555-0142,True,M,2,125.5,99,69,True,False,Executive,2008-08-14,,Current
113,138,11,Jason,Watters,M,False,Production Technician - WC30,2008-08-14,1988-07-07,jason0@adventure-works.com,571-555-0179,S,Jason Watters,571-555-0179,False,M,1,9.5,38,39,True,False,Production,2008-08-14,,Current
114,43,11,Mark,Harrington,L,False,Quality Assurance Technician,2008-08-15,1985-11-28,mark0@adventure-works.com,147-555-0179,S,Mark Harrington,147-555-0179,False,M,2,10.5769,83,61,True,False,Quality Assurance,2008-08-15,,Current
115,163,11,Janeth,Esteves,M,False,Production Technician - WC45,2008-08-15,1972-02-22,janeth0@adventure-works.com,540-555-0191,S,Janeth Esteves,540-555-0191,False,F,1,10,81,60,True,False,Production,2008-08-15,,Current
116,188,11,Marc,Ingle,J,False,Production Technician - WC30,2008-08-16,1986-05-24,marc0@adventure-works.com,234-555-0169,M,Marc Ingle,234-555-0169,False,M,1,9.5,22,31,True,False,Production,2008-08-16,,Current
117,162,11,Gigi,Matthew,N,False,Research and Development Engineer,2008-08-16,1978-08-21,gigi0@adventure-works.com,185-555-0186,M,Gigi Matthew,185-555-0186,True,F,2,40.8654,63,51,True,False,Research and Development,2008-08-16,,Current
118,111,11,Paul,Singh,R,False,Production Technician - WC20,2008-08-17,1990-06-04,paul1@adventure-works.com,727-555-0112,M,Paul Singh,727-555-0112,False,M,1,14,6,23,True,False,Production,2008-08-17,,Current
119,214,11,Frank,Lee,T,False,Production Technician - WC40,2008-08-17,1987-04-06,frank0@adventure-works.com,158-555-0191,M,Frank Lee,158-555-0191,False,M,1,15,56,48,True,False,Production,2008-08-17,,Current
120,44,11,François,Ajenstat,P,False,Database Administrator,2008-08-17,1980-06-13,françois0@adventure-works.com,785-555-0110,S,François Ajenstat,785-555-0110,True,M,2,38.4615,67,53,True,False,Information Services,2008-08-17,,Current
